"id_asignacion","id_docente","id_area","id_grado"
"1","3","15","7"
"2","3","15","8"
"3","3","15","9"
"4","3","15","10"
"5","3","15","11"
"6","4","25","7"
"7","4","25","8"
"8","4","25","9"
"9","4","25","10"
"10","4","25","11"
"11","5","14","7"
"12","5","14","8"
"13","5","14","9"
"14","5","14","10"
"15","5","14","11"
"16","6","21","7"
"17","6","21","8"
"18","6","21","9"
"19","6","21","10"
"20","6","21","11"
"21","9","17","7"
"22","9","17","8"
"23","9","17","9"
"24","9","17","10"
"25","9","17","11"
"26","8","23","7"
"27","8","23","8"
"28","8","23","9"
"29","8","23","10"
"30","8","23","11"
"31","7","18","7"
"32","7","18","8"
"33","7","18","9"
"34","7","18","10"
"35","7","18","11"
"36","7","22","7"
"37","7","22","8"
"38","7","22","9"
"39","7","22","10"
"40","7","22","11"
"41","11","26","7"
"42","11","26","8"
"43","11","26","9"
"44","11","26","10"
"45","11","26","11"
"46","11","16","7"
"47","11","16","8"
"48","11","16","9"
"49","11","16","10"
"50","11","16","11"
"51","12","20","7"
"52","12","20","8"
"53","12","20","9"
"54","12","20","10"
"55","12","20","11"
"56","13","19","7"
"57","13","19","8"
"58","13","19","9"
"59","13","19","10"
"60","13","19","11"
"61","8","24","7"
"63","6","24","9"
"64","7","24","10"
"65","3","24","11"
"66","5","24","8"
